Entity,Code,Year,Period life expectancy at birth
Afghanistan,AFG,2023,66.0346
Africa,,2023,63.8428
Albania,ALB,2023,79.6019
Algeria,DZA,2023,76.261
American Samoa,ASM,2023,72.8518
Americas,,2023,77.2922
Andorra,AND,2023,84.0406
Angola,AGO,2023,64.617
Anguilla,AIA,2023,79.3115
Antigua and Barbuda,ATG,2023,77.5976
Argentina,ARG,2023,77.3947
Armenia,ARM,2023,75.6827
Aruba,ABW,2023,76.353
Asia,,2023,74.5661
Australia,AUS,2023,83.9228
Austria,AUT,2023,81.9559
Azerbaijan,AZE,2023,74.4286
Bahamas,BHS,2023,74.5518
Bahrain,BHR,2023,81.2835
Bangladesh,BGD,2023,74.6723
Barbados,BRB,2023,76.1782
Belarus,BLR,2023,74.4339
Belgium,BEL,2023,82.115
Belize,BLZ,2023,73.5656
Benin,BEN,2023,60.7738
Bermuda,BMU,2023,82.3089
Bhutan,BTN,2023,72.9753
Bolivia,BOL,2023,68.5814
Bonaire Sint Eustatius and Saba,BES,2023,77.4355
Bosnia and Herzegovina,BIH,2023,77.8504
Botswana,BWA,2023,69.1631
Brazil,BRA,2023,75.8482
British Virgin Islands,VGB,2023,77.2758
Brunei,BRN,2023,75.3266
Bulgaria,BGR,2023,75.6363
Burkina Faso,BFA,2023,61.092
Burundi,BDI,2023,63.6511
Cambodia,KHM,2023,70.6675
Cameroon,CMR,2023,63.6996
Canada,CAN,2023,82.6302
Cape Verde,CPV,2023,76.0587
Cayman Islands,CYM,2023,80.3576
Central African Republic,CAF,2023,57.4077
Chad,TCD,2023,55.0692
Chile,CHL,2023,81.1667
China,CHN,2023,77.9529
Colombia,COL,2023,77.7246
Comoros,COM,2023,66.7768
Congo,COG,2023,65.772
Cook Islands,COK,2023,75.2818
Costa Rica,CRI,2023,80.7995
Cote d'Ivoire,CIV,2023,61.9438
Croatia,HRV,2023,78.5803
Cuba,CUB,2023,78.0855
Curacao,CUW,2023,76.7996
Cyprus,CYP,2023,81.648
Czechia,CZE,2023,79.8341
Democratic Republic of Congo,COD,2023,61.895
Denmark,DNK,2023,81.9328
Djibouti,DJI,2023,65.9865
Dominica,DMA,2023,71.1325
Dominican Republic,DOM,2023,73.7201
East Timor,TLS,2023,67.6894
Ecuador,ECU,2023,77.3924
Egypt,EGY,2023,71.6335
El Salvador,SLV,2023,72.0993
Equatorial Guinea,GNQ,2023,63.7071
Eritrea,ERI,2023,68.6239
Estonia,EST,2023,79.1535
Eswatini,SWZ,2023,64.1227
Ethiopia,ETH,2023,67.315
Europe,,2023,79.0594
Falkland Islands,FLK,2023,79.2132
Faroe Islands,FRO,2023,80.1792
Fiji,FJI,2023,67.3157
Finland,FIN,2023,81.9102
France,FRA,2023,83.3253
French Guiana,GUF,2023,76.9781
French Polynesia,PYF,2023,84.0698
Gabon,GAB,2023,68.3367
Gambia,GMB,2023,65.8603
Georgia,GEO,2023,74.4965
Germany,DEU,2023,81.3777
Ghana,GHA,2023,65.4979
Gibraltar,GIB,2023,83.553
Greece,GRC,2023,81.8568
Greenland,GRL,2023,70.055
Grenada,GRD,2023,75.2052
Guadeloupe,GLP,2023,82.0503
Guam,GUM,2023,77.2093
Guatemala,GTM,2023,72.6023
Guernsey,GGY,2023,83.2744
Guinea,GIN,2023,60.7405
Guinea-Bissau,GNB,2023,64.0849
Guyana,GUY,2023,70.1802
Haiti,HTI,2023,64.9356
High-and-upper-middle-income countries,,2023,77.7818
High-income countries,,2023,81.4353
Honduras,HND,2023,72.8842
Hong Kong,HKG,2023,85.5106
Hungary,HUN,2023,77.024
Iceland,ISL,2023,82.6911
India,IND,2023,72.0026
Indonesia,IDN,2023,71.1457
Iran,IRN,2023,77.6545
Iraq,IRQ,2023,72.3242
Ireland,IRL,2023,82.4118
Isle of Man,IMN,2023,80.999
Israel,ISR,2023,82.408
Italy,ITA,2023,83.7157
Jamaica,JAM,2023,71.4789
Japan,JPN,2023,84.7123
Jersey,JEY,2023,79.7071
Jordan,JOR,2023,77.8145
Kazakhstan,KAZ,2023,74.4021
Kenya,KEN,2023,63.6459
Kiribati,KIR,2023,66.4731
Kosovo,OWID_KOS,2023,78.0326
Kuwait,KWT,2023,80.4047
Kyrgyzstan,KGZ,2023,71.677
Land-locked Developing Countries (LLDC),,2023,66.5899
Laos,LAO,2023,68.9637
Latin America and the Caribbean,,2023,75.6915
Latvia,LVA,2023,76.1898
Least developed countries,,2023,66.3514
Lebanon,LBN,2023,77.817
Lesotho,LSO,2023,57.3749
Less developed regions,,2023,71.7284
"Less developed regions, excluding China",,2023,70.2206
"Less developed regions, excluding least developed countries",,2023,72.9367
Liberia,LBR,2023,62.1625
Libya,LBY,2023,69.3389
Liechtenstein,LIE,2023,83.6298
Lithuania,LTU,2023,76.025
Low-and-Lower-middle-income countries,,2023,68.6631
Low-and-middle-income countries,,2023,71.474
Low-income countries,,2023,64.9377
Lower-middle-income countries,,2023,69.5854
Luxembourg,LUX,2023,82.2294
Macao,MAC,2023,83.0749
Madagascar,MDG,2023,63.6317
Malawi,MWI,2023,67.3535
Malaysia,MYS,2023,76.6571
Maldives,MDV,2023,81.0412
Mali,MLI,2023,60.4394
Malta,MLT,2023,83.2989
Marshall Islands,MHL,2023,66.9454
Martinique,MTQ,2023,82.5651
Mauritania,MRT,2023,68.4836
Mauritius,MUS,2023,74.9263
Mayotte,MYT,2023,76.0544
Mexico,MEX,2023,75.069
Micronesia (country),FSM,2023,67.1983
Middle-income countries,,2023,72.386
Moldova,MDA,2023,71.1985
Monaco,MCO,2023,86.3724
Mongolia,MNG,2023,71.7341
Montenegro,MNE,2023,77.0869
Montserrat,MSR,2023,76.1857
More developed regions,,2023,79.8777
Morocco,MAR,2023,75.3128
Mozambique,MOZ,2023,63.6111
Myanmar,MMR,2023,66.889
Namibia,NAM,2023,67.3848
Nauru,NRU,2023,62.1094
Nepal,NPL,2023,70.3537
Netherlands,NLD,2023,82.1576
New Caledonia,NCL,2023,78.7658
New Zealand,NZL,2023,82.088
Nicaragua,NIC,2023,74.9468
Niger,NER,2023,61.1833
Nigeria,NGA,2023,54.4623
Niue,NIU,2023,69.9778
No income group available,,2023,72.5194
North Korea,PRK,2023,73.6418
North Macedonia,MKD,2023,77.3947
Northern America,,2023,79.6418
Northern Mariana Islands,MNP,2023,78.8075
Norway,NOR,2023,83.3078
Oceania,,2023,79.1464
Oman,OMN,2023,80.0305
Pakistan,PAK,2023,67.649
Palau,PLW,2023,69.269
Palestine,PSE,2023,65.1703
Panama,PAN,2023,79.5937
Papua New Guinea,PNG,2023,66.134
Paraguay,PRY,2023,73.8443
Peru,PER,2023,77.7401
Philippines,PHL,2023,69.8327
Poland,POL,2023,78.6329
Portugal,PRT,2023,82.3599
Puerto Rico,PRI,2023,81.6902
Qatar,QAT,2023,82.368
Reunion,REU,2023,83.5472
Romania,ROU,2023,75.9381
Russia,RUS,2023,73.1541
Rwanda,RWA,2023,67.7852
Saint Barthelemy,BLM,2023,84.2901
Saint Helena,SHN,2023,76.7869
Saint Kitts and Nevis,KNA,2023,72.1447
Saint Lucia,LCA,2023,72.6968
Saint Martin (French part),MAF,2023,80.2238
Saint Pierre and Miquelon,SPM,2023,76.7578
Saint Vincent and the Grenadines,VCT,2023,71.2301
Samoa,WSM,2023,71.6982
San Marino,SMR,2023,85.7062
Sao Tome and Principe,STP,2023,69.7182
Saudi Arabia,SAU,2023,78.7321
Senegal,SEN,2023,68.6829
Serbia,SRB,2023,76.7693
Seychelles,SYC,2023,72.862
Sierra Leone,SLE,2023,61.7858
Singapore,SGP,2023,83.7362
Sint Maarten (Dutch part),SXM,2023,76.371
Slovakia,SVK,2023,78.3414
Slovenia,SVN,2023,81.6034
Small Island Developing States (SIDS),,2023,72.7255
Solomon Islands,SLB,2023,70.5277
Somalia,SOM,2023,58.8158
South Africa,ZAF,2023,66.1387
South Korea,KOR,2023,84.3288
South Sudan,SSD,2023,57.6174
Spain,ESP,2023,83.6703
Sri Lanka,LKA,2023,77.4828
Sudan,SDN,2023,66.331
Suriname,SUR,2023,73.631
Sweden,SWE,2023,83.2624
Switzerland,CHE,2023,83.9536
Syria,SYR,2023,72.1201
Taiwan,TWN,2023,80.5588
Tajikistan,TJK,2023,71.7901
Tanzania,TZA,2023,66.9953
Thailand,THA,2023,76.4115
Togo,TGO,2023,62.7387
Tokelau,TKL,2023,77.0512
Tonga,TON,2023,72.8947
Trinidad and Tobago,TTO,2023,73.4896
Tunisia,TUN,2023,76.5077
Turkey,TUR,2023,77.1557
Turkmenistan,TKM,2023,70.0727
Turks and Caicos Islands,TCA,2023,78.0077
Tuvalu,TUV,2023,67.1049
Uganda,UGA,2023,68.2523
Ukraine,UKR,2023,73.4225
United Arab Emirates,ARE,2023,82.9091
United Kingdom,GBR,2023,81.3015
United States,USA,2023,79.3043
United States Virgin Islands,VIR,2023,75.4724
Upper-middle-income countries,,2023,75.8812
Uruguay,URY,2023,78.1385
Uzbekistan,UZB,2023,72.3884
Vanuatu,VUT,2023,71.4769
Vatican,VAT,2023,82.9848
Venezuela,VEN,2023,72.5142
Vietnam,VNM,2023,74.5883
Wallis and Futuna,WLF,2023,78.6286
Western Sahara,ESH,2023,71.385
World,OWID_WRL,2023,73.1694
Yemen,YEM,2023,69.2952
Zambia,ZMB,2023,66.3487
Zimbabwe,ZWE,2023,62.7748
